,name,url,uri,popularity,artist,danceability,energy,valence,acousticness,instrumentalness,tempo,loudness,speechiness,liveness,label
48149,Upside,https://open.spotify.com/embed/track/3xqjgRw2hmbNX3MlKiAmV0,spotify:track:3xqjgRw2hmbNX3MlKiAmV0,48,Kriz Luna,0.729,0.371,0.777,0.497,0.896,100.002,-13.177,0.0461,0.0948,1
48154,"Never Leave You (Uh Oooh, Uh Oooh)",https://open.spotify.com/embed/track/1AjQE5MtP5jHQMyDepbvLI,spotify:track:1AjQE5MtP5jHQMyDepbvLI,63,Lumidee,0.811,0.657,0.777,0.0391,0.712,199.958,-6.197,0.362,0.0798,1
48162,Desvelo,https://open.spotify.com/embed/track/5ZB7rbNjnJ8lMZ4KTuh55F,spotify:track:5ZB7rbNjnJ8lMZ4KTuh55F,26,Fin del Mundo,0.302,0.616,0.0613,0.0039,0.851,180.132,-8.483,0.0332,0.0835,1
48168,Tokyo Suburbs,https://open.spotify.com/embed/track/7jhlDtkhwCI73i1miPbnld,spotify:track:7jhlDtkhwCI73i1miPbnld,41,RejSende,0.63,0.497,0.107,0.0331,0.942,164.052,-12.529,0.0818,0.151,1
48174,At Your Gamut,https://open.spotify.com/embed/track/2uJJfL2Yp7dcXTh2zdVQkN,spotify:track:2uJJfL2Yp7dcXTh2zdVQkN,31,Caterina Barbieri,0.311,0.514,0.426,0.335,0.434,105.653,-9.915,0.0365,0.209,1
48175,Night Blue Skies,https://open.spotify.com/embed/track/69oebUHeibzbgcD1MUsSsl,spotify:track:69oebUHeibzbgcD1MUsSsl,43,Midnight Smoothie,0.543,0.602,0.527,0.00768,0.867,84.985,-10.862,0.0646,0.191,1
48184,lagoon,https://open.spotify.com/embed/track/0UcbRT5uMQRNCDJGuQzVfA,spotify:track:0UcbRT5uMQRNCDJGuQzVfA,13,UKDD,0.831,0.458,0.588,0.446,0.699,92.026,-9.977,0.0845,0.0932,1
48186,Stylin',https://open.spotify.com/embed/track/40UbNyeFo1F7ETJ4zLi14e,spotify:track:40UbNyeFo1F7ETJ4zLi14e,42,Gregory Goodloe,0.684,0.727,0.723,0.295,0.921,106.036,-8.807,0.0263,0.213,1
48198,When You Touch Me,https://open.spotify.com/embed/track/6QfyJdy9eO3WiAL65VQP8D,spotify:track:6QfyJdy9eO3WiAL65VQP8D,19,Reigning Sound,0.195,0.91,0.427,1.03e-05,0.682,147.587,-1.662,0.0411,0.165,1
48201,Devil Church,https://open.spotify.com/embed/track/2o2UpxEGdYpJqSAAmEgpRD,spotify:track:2o2UpxEGdYpJqSAAmEgpRD,43,Ghost,0.126,0.386,0.329,0.000187,0.86,75.266,-5.811,0.0419,0.342,1
48210,With you - Instrumental,https://open.spotify.com/embed/track/7M30L99pePlQ3wh8IxVUsD,spotify:track:7M30L99pePlQ3wh8IxVUsD,65,Jimin,0.637,0.307,0.0641,0.461,0.962,150.068,-9.624,0.029,0.108,1
48229,Forest Creek,https://open.spotify.com/embed/track/1LoOR1wpNLSRaVsYwBvJrD,spotify:track:1LoOR1wpNLSRaVsYwBvJrD,42,Gentle Outdoors,0.252,1.0,0.0101,0.807,0.891,83.51,-14.315,0.0534,0.963,1
48236,old coffee,https://open.spotify.com/embed/track/77xtU9g1P9ls01NA3Jj4F2,spotify:track:77xtU9g1P9ls01NA3Jj4F2,49,wavcrush,0.738,0.308,0.153,0.371,0.878,77.503,-11.638,0.0883,0.107,1
48246,In A New Mood,https://open.spotify.com/embed/track/557qppEhP0qyFJ7grz1SrA,spotify:track:557qppEhP0qyFJ7grz1SrA,46,Nippon Nights,0.648,0.683,0.0585,0.426,0.813,97.996,-11.616,0.0334,0.0905,1
48285,Never Ending Falling Down,https://open.spotify.com/embed/track/4ra71wrzAA9FtJ0nrtwrFa,spotify:track:4ra71wrzAA9FtJ0nrtwrFa,24,WOO JI HUN,0.316,0.772,0.0618,0.807,0.663,110.257,-5.011,0.0597,0.219,1
48288,Grateful,https://open.spotify.com/embed/track/6ZVfA9zMVdCSjhVWVFO140,spotify:track:6ZVfA9zMVdCSjhVWVFO140,28,Mecca:83,0.662,0.293,0.439,0.07,0.903,86.003,-10.337,0.0533,0.0634,1
48296,Yield,https://open.spotify.com/embed/track/1lFql1YShXyrUMMMd8St6U,spotify:track:1lFql1YShXyrUMMMd8St6U,20,Girls in Airports,0.519,0.329,0.214,0.437,0.881,98.496,-15.112,0.0631,0.0927,1
48308,My Cosmos Is Mine,https://open.spotify.com/embed/track/4KsArIpW1fuKW6ULDI44lx,spotify:track:4KsArIpW1fuKW6ULDI44lx,63,Depeche Mode,0.433,0.778,0.236,0.206,0.53,82.512,-6.348,0.0892,0.159,1
48312,"You're Not Gone, You're Just Dead!",https://open.spotify.com/embed/track/3IT2AP0SuXSBliYDiwCrK1,spotify:track:3IT2AP0SuXSBliYDiwCrK1,52,VIRA,0.296,0.787,0.402,0.0014,0.678,155.053,-5.969,0.0495,0.325,1
48327,Auld Lang Syne,https://open.spotify.com/embed/track/34eCNgMv57z5gyMtabpSis,spotify:track:34eCNgMv57z5gyMtabpSis,12,Boney James,0.506,0.491,0.366,0.543,0.931,75.073,-10.38,0.033,0.159,1
48328,Get Loose - Mixed,https://open.spotify.com/embed/track/4jiykYCH2Qb0vHePrzV6tw,spotify:track:4jiykYCH2Qb0vHePrzV6tw,22,Shermanology,0.803,0.855,0.464,0.000548,0.757,127.004,-7.496,0.0813,0.0992,1
48338,Blues For Duke Robillard,https://open.spotify.com/embed/track/1PZHYEA9oq4VCmXnSjanLk,spotify:track:1PZHYEA9oq4VCmXnSjanLk,28,Ronnie Earl,0.526,0.413,0.182,0.357,0.741,118.885,-7.256,0.034,0.234,1
48348,"Real Relaxing Brushing Sounds, Pt. 1",https://open.spotify.com/embed/track/5bm749aVIDoQylFc2si4W2,spotify:track:5bm749aVIDoQylFc2si4W2,26,Relax Academy ASMR,0.306,0.264,0.0365,0.111,0.812,106.522,-35.929,0.171,0.249,1
48362,Chill Forest,https://open.spotify.com/embed/track/7mu0BraDictq1Jj73bbyi4,spotify:track:7mu0BraDictq1Jj73bbyi4,40,Hi Freq Samples,0.117,0.167,0.0387,0.000525,0.983,86.581,-21.205,0.0478,0.344,1
48376,"Very, Slowly (Inst.)",https://open.spotify.com/embed/track/2b9AClFYJJd5rHV7PzcRD1,spotify:track:2b9AClFYJJd5rHV7PzcRD1,32,BIBI,0.667,0.41,0.345,0.362,0.844,136.062,-10.262,0.0289,0.188,1
48384,Word to the Wise,https://open.spotify.com/embed/track/2aYtAI8xvZLUTZPYZMC6ad,spotify:track:2aYtAI8xvZLUTZPYZMC6ad,38,Mastodon,0.364,0.96,0.358,6.91e-06,0.692,154.111,-4.551,0.0895,0.342,1
48387,Dhun Pahari (Live),https://open.spotify.com/embed/track/5TR882TjcZakJe7Hegd1Hy,spotify:track:5TR882TjcZakJe7Hegd1Hy,4,Shivkumar Sharma,0.429,0.76,0.564,0.76,0.673,140.645,-11.084,0.0447,0.678,1
48392,Let It Shine,https://open.spotify.com/embed/track/18V3WdhlafZXWC2uAXVEf9,spotify:track:18V3WdhlafZXWC2uAXVEf9,48,Tim Bowman,0.608,0.864,0.739,0.267,0.875,95.987,-7.12,0.0366,0.204,1
48398,Porsche 944,https://open.spotify.com/embed/track/6JSkc4vPxHuTqgSuJ2vMu9,spotify:track:6JSkc4vPxHuTqgSuJ2vMu9,40,Laurent Bardainne,0.671,0.592,0.686,0.0763,0.473,96.997,-5.884,0.0289,0.139,1
48405,Hydralove,https://open.spotify.com/embed/track/7DDKbLDOseP6AAw1yj78W6,spotify:track:7DDKbLDOseP6AAw1yj78W6,48,Jade Shade,0.781,0.399,0.562,0.223,0.955,103.007,-17.282,0.0672,0.101,1
48412,Veracity Found,https://open.spotify.com/embed/track/4053bgaYVbw6dUSi5gfJDw,spotify:track:4053bgaYVbw6dUSi5gfJDw,35,Andromida,0.52,0.956,0.381,2.16e-05,0.96,117.035,-4.189,0.0351,0.0852,1
48429,The Flavor,https://open.spotify.com/embed/track/3oxqugZiGg6uIzY4beGaCx,spotify:track:3oxqugZiGg6uIzY4beGaCx,41,Oscar Lopez,0.659,0.907,0.802,0.826,0.751,110.559,-7.469,0.0325,0.114,1
48431,Greenstreet,https://open.spotify.com/embed/track/7ChAL7efVJHKlm5Pl4oZqW,spotify:track:7ChAL7efVJHKlm5Pl4oZqW,49,Bob Mamet,0.689,0.487,0.777,0.652,0.824,87.999,-12.116,0.0302,0.0467,1
48451,Recuerdos de una Noche,https://open.spotify.com/embed/track/1HvnEWOy2ykY8sJa2K6y7s,spotify:track:1HvnEWOy2ykY8sJa2K6y7s,52,Los Pasteles Verdes,0.598,0.554,0.543,0.0192,0.512,81.675,-9.026,0.0273,0.098,1
48467,Happen,https://open.spotify.com/embed/track/3x5GkihYMx1wdoXVFAwRyZ,spotify:track:3x5GkihYMx1wdoXVFAwRyZ,40,Nick Hakim,0.648,0.403,0.265,0.159,0.761,122.009,-7.038,0.0301,0.115,1
48480,Hot Days,https://open.spotify.com/embed/track/5inTPZdc98BxsmXNvHmaZK,spotify:track:5inTPZdc98BxsmXNvHmaZK,1,Yoon Il Sang,0.727,0.643,0.982,0.0364,0.759,110.012,-7.523,0.0312,0.0999,1
48492,Write Off,https://open.spotify.com/embed/track/621MnT5Wi73X0Gp2lmwZ0M,spotify:track:621MnT5Wi73X0Gp2lmwZ0M,38,Charles Hewits,0.597,0.463,0.242,0.00536,0.624,140.029,-11.509,0.0278,0.136,1
48514,u dont kno me,https://open.spotify.com/embed/track/22yfTobyBNSSJXWIlNjPgt,spotify:track:22yfTobyBNSSJXWIlNjPgt,52,Yot Club,0.624,0.886,0.772,0.1,0.941,155.249,-6.046,0.0351,0.0943,1
48515,Fragments (2 Minute Loopable Tibetan Bowl Timer),https://open.spotify.com/embed/track/2HpjyT7Zh3wskU8oVy3sR4,spotify:track:2HpjyT7Zh3wskU8oVy3sR4,39,Naturalis,0.21,1.0,1e-05,0.562,0.928,81.712,-16.906,0.156,0.743,1
48518,Dos Uvas,https://open.spotify.com/embed/track/5ZVhOPIz5xEb52pRnZBitG,spotify:track:5ZVhOPIz5xEb52pRnZBitG,45,Pale Jay,0.482,0.698,0.321,0.0534,0.866,76.495,-6.191,0.0313,0.134,1
48528,Prettiest One - Instrumental,https://open.spotify.com/embed/track/1luZpL2xekj9MxC634K6cp,spotify:track:1luZpL2xekj9MxC634K6cp,12,Standing Egg,0.852,0.478,0.449,0.271,0.639,120.048,-9.846,0.0365,0.206,1
48534,Sometimes,https://open.spotify.com/embed/track/5KBKqxYY263Tr0haAu3fMz,spotify:track:5KBKqxYY263Tr0haAu3fMz,51,my bloody valentine,0.351,0.651,0.0395,6.79e-05,0.889,128.453,-17.989,0.0789,0.0916,1
48538,Razor - Mixed,https://open.spotify.com/embed/track/6RifcNxlclz2lMPBxyq8o6,spotify:track:6RifcNxlclz2lMPBxyq8o6,10,A.D.H.S.,0.525,0.945,0.353,9.37e-05,0.858,134.014,-6.19,0.0401,0.256,1
48559,Deep Chicken,https://open.spotify.com/embed/track/5tSEY4tjB8P44FkYDFuB48,spotify:track:5tSEY4tjB8P44FkYDFuB48,47,Sound Quelle,0.54,0.859,0.128,0.00511,0.82,120.001,-9.008,0.0357,0.0661,1
48560,Mistake,https://open.spotify.com/embed/track/0kQSRUHcJZr9nfX1R5HZcN,spotify:track:0kQSRUHcJZr9nfX1R5HZcN,27,Bleu Clair,0.636,0.896,0.565,0.0397,0.529,124.987,-1.977,0.0442,0.165,1
48567,Blues Garage,https://open.spotify.com/embed/track/63z5HlfiJw3g74Ja9NYgUt,spotify:track:63z5HlfiJw3g74Ja9NYgUt,34,Marco Tansini,0.741,0.209,0.0896,0.46,0.878,141.963,-12.518,0.0305,0.911,1
48572,MOON (feat. Herbie Hancock),https://open.spotify.com/embed/track/10UmWJn4BXev5y6uj1VwMl,spotify:track:10UmWJn4BXev5y6uj1VwMl,45,DOMi & JD BECK,0.678,0.747,0.785,0.806,0.913,122.972,-10.798,0.0356,0.246,1
