,name,url,uri,popularity,artist,danceability,energy,valence,acousticness,instrumentalness,tempo,loudness,speechiness,liveness,label
20806,Sri Mahalakshmi Suprabatham,https://open.spotify.com/embed/track/1QaLGLF8ciTjfzRc797plG,spotify:track:1QaLGLF8ciTjfzRc797plG,18,Dr. R. Thiagarajan,0.598,0.399,0.847,0.802,0.0,117.36,-9.545,0.196,0.267,2
20811,How shall I fitly meet thee?,https://open.spotify.com/embed/track/77x84GIRkAYlY7NO1zFZma,spotify:track:77x84GIRkAYlY7NO1zFZma,31,Johann Sebastian Bach,0.192,0.0974,0.0398,0.993,0.0936,68.358,-26.001,0.0457,0.105,2
20819,Katharul Ganapathiye,https://open.spotify.com/embed/track/4nLUIfeMOUOcipI6zV7gbC,spotify:track:4nLUIfeMOUOcipI6zV7gbC,10,Radha Jayalakshmi,0.616,0.359,0.842,0.953,0.0221,89.585,-12.397,0.0889,0.345,2
20821,Shinbashi,https://open.spotify.com/embed/track/34soZw4sJRLS7oi5Gb0AWG,spotify:track:34soZw4sJRLS7oi5Gb0AWG,19,Tannenbaum Trio,0.512,0.158,0.0662,0.647,0.31,127.775,-18.674,0.0328,0.305,2
20828,Ecce Concipies,https://open.spotify.com/embed/track/2Yl5ZUo8Q643hYAMLjYi32,spotify:track:2Yl5ZUo8Q643hYAMLjYi32,12,Mark Sirett,0.0635,0.00966,0.036,0.991,0.057,68.498,-33.42,0.0463,0.0603,2
20831,"Can't take my eyes off you - Music from The Netflix Series ""La Casa de Papel""",https://open.spotify.com/embed/track/688zRXjBtLgc3qmPGmsQrv,spotify:track:688zRXjBtLgc3qmPGmsQrv,41,Cecilia Krull,0.4,0.272,0.129,0.787,0.0,97.403,-7.913,0.0331,0.288,2
20841,El Gran Varón,https://open.spotify.com/embed/track/22nCrqu1Bd7abghLtJrf6w,spotify:track:22nCrqu1Bd7abghLtJrf6w,50,Willie Colón,0.645,0.665,0.369,0.581,0.0,94.115,-5.519,0.0384,0.0391,2
20843,Give You Everything,https://open.spotify.com/embed/track/5b3YuVgfN1rvppmTr9UTY2,spotify:track:5b3YuVgfN1rvppmTr9UTY2,13,Na Yoon Kwon,0.477,0.275,0.165,0.84,0.0,115.848,-8.808,0.0352,0.0945,2
20845,Dil Ki Umangen Hai Jawan,https://open.spotify.com/embed/track/2VMxEOE0pB0W6o4RYUyGRp,spotify:track:2VMxEOE0pB0W6o4RYUyGRp,8,Hemant Kumar,0.568,0.418,0.74,0.942,0.214,118.0,-10.681,0.0619,0.132,2
20847,Thirsting,https://open.spotify.com/embed/track/2acV029ZRhof7hqGvWDwZm,spotify:track:2acV029ZRhof7hqGvWDwZm,3,Sebastian Davidson,0.846,0.6,0.0469,0.627,0.427,117.039,-12.231,0.069,0.056,2
20854,Ksheerasagara Vihara,https://open.spotify.com/embed/track/5J1TlfjB2zXLxPt0KxLw0H,spotify:track:5J1TlfjB2zXLxPt0KxLw0H,24,Vedavathi Prabhakar,0.502,0.58,0.715,0.849,7.48e-05,162.121,-4.638,0.0332,0.153,2
20855,Con Olor a Hierba,https://open.spotify.com/embed/track/30PNkwSPcer18CoQ8uyUct,spotify:track:30PNkwSPcer18CoQ8uyUct,59,Emmanuel,0.682,0.291,0.642,0.526,0.0,105.642,-15.827,0.0353,0.0629,2
20856,Raama Raama,https://open.spotify.com/embed/track/13odovAg7NuM7CoZJB2m9y,spotify:track:13odovAg7NuM7CoZJB2m9y,14,Priya,0.593,0.346,0.699,0.735,2.77e-05,79.497,-8.131,0.0389,0.134,2
20861,Palace,https://open.spotify.com/embed/track/3zesxb7sOGbeSwUrzLUP0f,spotify:track:3zesxb7sOGbeSwUrzLUP0f,53,Sam Smith,0.345,0.193,0.268,0.74,4.2e-06,77.547,-10.236,0.0328,0.117,2
20868,One Hundred Ways,https://open.spotify.com/embed/track/0Yp603BgzIKDDcSUBrYYba,spotify:track:0Yp603BgzIKDDcSUBrYYba,55,Quincy Jones,0.626,0.25,0.345,0.817,4.33e-05,90.103,-17.499,0.0503,0.0668,2
20870,Tired,https://open.spotify.com/embed/track/6F5mZpEEjhsAW8UEqbIpz1,spotify:track:6F5mZpEEjhsAW8UEqbIpz1,71,beabadoobee,0.63,0.418,0.345,0.483,0.15,140.037,-7.111,0.0254,0.111,2
20873,Shake Hands with Santa Claus - Mono Recording,https://open.spotify.com/embed/track/4uWOOyWwhkYAchf4WFuiTT,spotify:track:4uWOOyWwhkYAchf4WFuiTT,30,Louis Prima,0.694,0.365,0.859,0.879,0.0,134.702,-7.016,0.0495,0.196,2
20876,Breath of Heaven (Mary's Song),https://open.spotify.com/embed/track/3nt6KSOlcetP5Asp9mAL2I,spotify:track:3nt6KSOlcetP5Asp9mAL2I,22,Menna,0.226,0.449,0.122,0.598,2.92e-05,117.471,-5.844,0.0334,0.122,2
20879,Wake Up (feat. DEAN),https://open.spotify.com/embed/track/6ttHs2fIX0XM2qkEMGhLkA,spotify:track:6ttHs2fIX0XM2qkEMGhLkA,35,Crush,0.388,0.264,0.283,0.901,0.0,94.213,-11.44,0.0351,0.447,2
20880,Beautiful Dreamer,https://open.spotify.com/embed/track/5CrrwOZ04sFgbpugWUVcQR,spotify:track:5CrrwOZ04sFgbpugWUVcQR,41,Jacks Box,0.853,0.0282,0.348,0.849,0.111,97.867,-18.198,0.0976,0.277,2
20888,Sozinho,https://open.spotify.com/embed/track/7m75tNUYyt3Bz21tIDdq3j,spotify:track:7m75tNUYyt3Bz21tIDdq3j,23,Tállia,0.753,0.444,0.356,0.557,0.000118,121.816,-8.165,0.0394,0.171,2
20897,The Only Thing,https://open.spotify.com/embed/track/17UVxL0MYEmKzXppfUL5in,spotify:track:17UVxL0MYEmKzXppfUL5in,62,Sufjan Stevens,0.51,0.146,0.498,0.987,0.0688,159.034,-19.585,0.0389,0.107,2
20903,Clair de Lune,https://open.spotify.com/embed/track/0kP8p4d5FIkXZicuWzXZNz,spotify:track:0kP8p4d5FIkXZicuWzXZNz,19,David Hazeltine,0.366,0.193,0.327,0.897,0.253,171.338,-20.902,0.0353,0.111,2
20906,Just a Little Lovin',https://open.spotify.com/embed/track/7LohM56jH2aS3HZkwTKDFs,spotify:track:7LohM56jH2aS3HZkwTKDFs,38,Carmen McRae,0.431,0.41,0.465,0.774,3.45e-06,115.297,-13.084,0.0519,0.11,2
20910,Tu Sang Na,https://open.spotify.com/embed/track/57ma8LMsMJ6lUH5peJ0N3R,spotify:track:57ma8LMsMJ6lUH5peJ0N3R,17,Hrishikesh Ranade,0.513,0.482,0.376,0.47,1.14e-06,136.036,-7.8,0.0357,0.125,2
20922,Greasy,https://open.spotify.com/embed/track/5rcEapnWT4NrPSFT5co106,spotify:track:5rcEapnWT4NrPSFT5co106,34,Jackie McLean,0.62,0.324,0.596,0.682,0.00108,78.89,-14.199,0.0606,0.112,2
20923,Tara,https://open.spotify.com/embed/track/3BjfQ2umqNOTCtjv8d4JQU,spotify:track:3BjfQ2umqNOTCtjv8d4JQU,27,Sourakata Koité,0.521,0.0995,0.488,0.533,0.0452,72.499,-25.416,0.0442,0.0751,2
20927,The Surrender,https://open.spotify.com/embed/track/6nFqXBpJRPcyfay192nlyB,spotify:track:6nFqXBpJRPcyfay192nlyB,40,Limp Bizkit,0.417,0.267,0.0508,0.768,0.0941,98.068,-13.768,0.0305,0.183,2
20930,Main Jis Din Bhulaa Du,https://open.spotify.com/embed/track/6X3FjTFOKsj7FQk2rd0gPv,spotify:track:6X3FjTFOKsj7FQk2rd0gPv,54,Rochak Kohli,0.406,0.67,0.526,0.57,0.0,83.023,-7.18,0.149,0.169,2
20931,Hasi - Female Version,https://open.spotify.com/embed/track/1cmZbGkCEVVAck2MsWpPYQ,spotify:track:1cmZbGkCEVVAck2MsWpPYQ,69,Ami Mishra,0.52,0.485,0.407,0.927,0.000466,143.901,-6.438,0.0269,0.159,2
20933,Cue Sign,https://open.spotify.com/embed/track/4cBiqsGxRNpIE02zfMdhNf,spotify:track:4cBiqsGxRNpIE02zfMdhNf,37,Chamsom,0.731,0.44,0.215,0.52,0.27,84.986,-11.002,0.0277,0.0999,2
20934,All the Things You Are,https://open.spotify.com/embed/track/5pFtpo6JemD4c08m8uEwk2,spotify:track:5pFtpo6JemD4c08m8uEwk2,39,Paul Desmond,0.467,0.232,0.459,0.67,0.0,102.446,-17.79,0.0695,0.123,2
20935,Is This Real Love?,https://open.spotify.com/embed/track/2STIbgjW6oD4qc1odTNrqT,spotify:track:2STIbgjW6oD4qc1odTNrqT,46,Debbie,0.457,0.4,0.418,0.698,0.0,65.208,-5.574,0.148,0.119,2
20939,,https://open.spotify.com/embed/track/3rwjxUO0XZFmBf4CMfvumX,spotify:track:3rwjxUO0XZFmBf4CMfvumX,0,,0.477,0.429,0.373,0.534,8.48e-05,93.942,-8.002,0.0379,0.107,2
20942,Neeti Mullai (Bit),https://open.spotify.com/embed/track/29ffQxBUZLJdN3kiPndB9n,spotify:track:29ffQxBUZLJdN3kiPndB9n,63,"Sagar, Sumangali",0.683,0.261,0.671,0.827,0.0,105.049,-12.998,0.0336,0.137,2
20954,Choo Choo Ch' Boogie,https://open.spotify.com/embed/track/4vPJK1gKyygRS2mep7iyDq,spotify:track:4vPJK1gKyygRS2mep7iyDq,36,Louis Jordan,0.74,0.744,0.722,0.844,5.6e-06,85.19,-7.759,0.0383,0.0223,2
20959,Right on Time - In Harmony,https://open.spotify.com/embed/track/07kMJNzJGnq8Vge6DBN9tA,spotify:track:07kMJNzJGnq8Vge6DBN9tA,43,Brandi Carlile,0.457,0.178,0.249,0.946,2.28e-05,112.068,-10.243,0.0345,0.153,2
20963,"Enna Sona (From ""OK Jaanu"")",https://open.spotify.com/embed/track/1Wf5q34m4hTnAxCljiAonb,spotify:track:1Wf5q34m4hTnAxCljiAonb,53,A.R. Rahman,0.717,0.415,0.379,0.637,1.43e-06,100.021,-9.875,0.0302,0.0976,2
20965,Using Again,https://open.spotify.com/embed/track/6TQzLEc2mFHyZ4eYXu50ma,spotify:track:6TQzLEc2mFHyZ4eYXu50ma,53,Benjamin Tod,0.62,0.107,0.412,0.585,0.0,105.558,-11.386,0.0437,0.119,2
20970,Heather - Spotify Singles,https://open.spotify.com/embed/track/2GSLoT7abyYGchSSDCpWEI,spotify:track:2GSLoT7abyYGchSSDCpWEI,56,Tate McRae,0.569,0.271,0.352,0.886,0.0,91.888,-10.969,0.0271,0.103,2
20973,Go Slow,https://open.spotify.com/embed/track/3KMeqdGzrtxXGa5oRwZFGQ,spotify:track:3KMeqdGzrtxXGa5oRwZFGQ,38,Laura Benanti,0.346,0.191,0.167,0.933,0.000138,140.964,-16.312,0.0361,0.114,2
20975,Both Hands,https://open.spotify.com/embed/track/1pQhpD3hn0IBcY2sDdjIdg,spotify:track:1pQhpD3hn0IBcY2sDdjIdg,47,Ani DiFranco,0.77,0.115,0.353,0.89,5.91e-06,138.966,-19.668,0.0632,0.105,2
20979,O Christmas Tree,https://open.spotify.com/embed/track/2VsCE6ui7N4IRzGIGT7Di8,spotify:track:2VsCE6ui7N4IRzGIGT7Di8,47,Tony Bennett,0.571,0.0982,0.0857,0.949,1.71e-06,74.271,-14.34,0.0425,0.109,2
20982,Heer Ranjha,https://open.spotify.com/embed/track/0HyUg9qRtBLzzbo0ZqfUu4,spotify:track:0HyUg9qRtBLzzbo0ZqfUu4,52,Bhuvan Bam,0.539,0.547,0.175,0.842,0.00771,97.066,-11.391,0.0345,0.0774,2
20987,Angnyaade,https://open.spotify.com/embed/track/384x7qDzho8phQt5NoCofh,spotify:track:384x7qDzho8phQt5NoCofh,47,G. V. Prakash,0.632,0.482,0.746,0.771,0.00023,119.989,-7.934,0.108,0.109,2
20988,Priyathama Priyathama,https://open.spotify.com/embed/track/4wHZiaLsuI9aQdWv4f3Esd,spotify:track:4wHZiaLsuI9aQdWv4f3Esd,50,Chinmayi,0.71,0.529,0.505,0.743,0.00577,130.036,-9.729,0.0391,0.183,2
20989,Broad Way Blues,https://open.spotify.com/embed/track/3ASbn4OVbcg1tnSjmdyREe,spotify:track:3ASbn4OVbcg1tnSjmdyREe,31,Ornette Coleman,0.508,0.253,0.579,0.471,0.246,95.527,-17.518,0.0487,0.121,2
20992,A noite,https://open.spotify.com/embed/track/06XSmh92M0FIYNGC4Ss0CX,spotify:track:06XSmh92M0FIYNGC4Ss0CX,62,Tiê,0.652,0.302,0.234,0.799,3.32e-05,140.026,-10.681,0.0379,0.112,2
20995,Dance Monkey,https://open.spotify.com/embed/track/5ZULALImTm80tzUbYQYM9d,spotify:track:5ZULALImTm80tzUbYQYM9d,71,Tones And I,0.824,0.588,0.513,0.692,0.000104,98.027,-6.4,0.0924,0.149,2
20998,Believe in Yourself,https://open.spotify.com/embed/track/0YVhUwdbwzGu9RVWRUQaWF,spotify:track:0YVhUwdbwzGu9RVWRUQaWF,12,REMMI,0.672,0.481,0.379,0.595,1.69e-06,83.008,-9.473,0.0618,0.318,2
