,name,url,uri,popularity,artist,danceability,energy,valence,acousticness,instrumentalness,tempo,loudness,speechiness,liveness,label
18493,Soak Up The Sun,https://open.spotify.com/embed/track/2l2vKPlI3MCAHcEBeSg5gJ,spotify:track:2l2vKPlI3MCAHcEBeSg5gJ,33,Shelli Daniels,0.9,0.189,0.655,0.939,0.762,120.019,-14.995,0.119,0.0748,4
18500,Isle of Arran,https://open.spotify.com/embed/track/2VKWrVYPGgJzBmRGc8LWkh,spotify:track:2VKWrVYPGgJzBmRGc8LWkh,43,Quinn MacKenzie,0.427,0.0147,0.108,0.995,0.945,51.357,-30.289,0.059,0.13,4
18508,Whispers,https://open.spotify.com/embed/track/3VQaQbYdSLSgw9sodURQJr,spotify:track:3VQaQbYdSLSgw9sodURQJr,37,Tom Ellenhag,0.687,0.208,0.232,0.962,0.878,123.67,-13.271,0.0928,0.108,4
18510,Rhône,https://open.spotify.com/embed/track/7xjXwre2UJf8M7GpTvEoIT,spotify:track:7xjXwre2UJf8M7GpTvEoIT,46,Teide,0.385,0.0205,0.153,0.986,0.903,128.237,-23.186,0.0444,0.0966,4
18516,Big Wide World (Reimagined for Piano),https://open.spotify.com/embed/track/0NRJQn7P89YOHSIgq11WWp,spotify:track:0NRJQn7P89YOHSIgq11WWp,42,Roo Panes,0.366,0.279,0.0787,0.953,0.922,140.941,-16.834,0.0355,0.085,4
18519,Caminando,https://open.spotify.com/embed/track/6dnW0O6xZKlPvMe7TzU1yH,spotify:track:6dnW0O6xZKlPvMe7TzU1yH,65,Jademaia,0.158,0.003,0.0397,0.983,0.654,77.947,-37.037,0.0436,0.137,4
18520,The Shortest Flight,https://open.spotify.com/embed/track/0eRujTuQz5mwL54tcZrNKN,spotify:track:0eRujTuQz5mwL54tcZrNKN,34,Hisham Kharma,0.159,0.325,0.0368,0.712,0.6,146.923,-14.128,0.0501,0.141,4
18522,re: Alive,https://open.spotify.com/embed/track/4no3Z7kB2HUBOmVtaV3vjo,spotify:track:4no3Z7kB2HUBOmVtaV3vjo,30,Rui Fujishiro,0.807,0.253,0.396,0.855,0.924,88.219,-16.093,0.202,0.15,4
18528,Nos - C.B. Rework,https://open.spotify.com/embed/track/1zVbL4ZCLbEE8fmVl881Gj,spotify:track:1zVbL4ZCLbEE8fmVl881Gj,33,Balmorhea,0.429,0.234,0.136,0.96,0.903,112.758,-16.395,0.0379,0.111,4
18532,Happiness Does Not Wait,https://open.spotify.com/embed/track/0nYm42RuPWFaHWUXUdwHYm,spotify:track:0nYm42RuPWFaHWUXUdwHYm,56,Ólafur Arnalds,0.4,0.128,0.124,0.989,0.85,122.974,-16.614,0.0401,0.11,4
18543,"Beethoven: Piano Trio in G Major, Op. 121a ""Kakadu Variations""",https://open.spotify.com/embed/track/1NR0Di9dR9YQtxSKQwJT46,spotify:track:1NR0Di9dR9YQtxSKQwJT46,16,Ludwig van Beethoven,0.384,0.0789,0.153,0.988,0.497,135.46,-22.378,0.0507,0.111,4
18558,Tiniebla,https://open.spotify.com/embed/track/1uGy4uNI3SeVUien40Dtzo,spotify:track:1uGy4uNI3SeVUien40Dtzo,65,Pearl Melendez,0.148,0.0109,0.0426,0.978,0.935,72.416,-36.403,0.0432,0.109,4
18568,Jazz Has Many Faces,https://open.spotify.com/embed/track/6S1v4mCBFT3yG895yilYyt,spotify:track:6S1v4mCBFT3yG895yilYyt,38,Super Off-Beat,0.599,0.232,0.305,0.975,0.88,94.965,-16.6,0.0854,0.684,4
18569,snowy week,https://open.spotify.com/embed/track/0kcLM1DDWj4pwKOn0F3psz,spotify:track:0kcLM1DDWj4pwKOn0F3psz,34,.clouds,0.662,0.0761,0.0739,0.926,0.931,62.055,-19.944,0.0285,0.188,4
