,name,url,uri,popularity,artist,danceability,energy,valence,acousticness,instrumentalness,tempo,loudness,speechiness,liveness,label
29822,Unlike Us,https://open.spotify.com/embed/track/7eTx4sMu3d624zARBTEKHp,spotify:track:7eTx4sMu3d624zARBTEKHp,30,Hacktivist,0.514,0.963,0.296,0.000112,0.000291,104.988,-2.473,0.0769,0.35,3
29827,Cloud 9,https://open.spotify.com/embed/track/5ekbROvx6LuyF3nxchudHO,spotify:track:5ekbROvx6LuyF3nxchudHO,50,Catz 'n Dogz,0.719,0.899,0.505,0.00708,0.0406,128.001,-6.23,0.0464,0.305,3
29831,Best Friend,https://open.spotify.com/embed/track/3rPtS4nfpy7PsARctAWpzd,spotify:track:3rPtS4nfpy7PsARctAWpzd,76,Rex Orange County,0.576,0.714,0.321,0.395,0.0,144.981,-5.247,0.0595,0.115,3
29836,Trust Issues,https://open.spotify.com/embed/track/5nAcDjHi1Sn9d24ZPwYpZc,spotify:track:5nAcDjHi1Sn9d24ZPwYpZc,48,SABAI,0.291,0.693,0.197,0.105,0.0,73.713,-5.941,0.0395,0.19,3
29843,The Love Intro,https://open.spotify.com/embed/track/3hjCUYBBJUCB9nyBNRIVj8,spotify:track:3hjCUYBBJUCB9nyBNRIVj8,34,Tanna Leone,0.537,0.451,0.28,0.0144,0.0186,143.431,-5.847,0.0782,0.112,3
29855,Bells Will Be Ringing (Please Come Home For Christmas),https://open.spotify.com/embed/track/5i6xGtlDQu0QJ2zk5nIplx,spotify:track:5i6xGtlDQu0QJ2zk5nIplx,32,The Offspring,0.318,0.626,0.321,0.211,0.0,175.765,-3.723,0.0315,0.184,3
29859,Treat Me Better (feat. Eel Smiles),https://open.spotify.com/embed/track/6LvYFMBMG1PoF7zuaXhbkH,spotify:track:6LvYFMBMG1PoF7zuaXhbkH,36,Elliot Lee,0.625,0.64,0.493,0.327,0.00631,121.929,-6.825,0.062,0.112,3
29860,Ninnu Road Meedha,https://open.spotify.com/embed/track/1nCkqULdG7UeDga1C3Z6rN,spotify:track:1nCkqULdG7UeDga1C3Z6rN,43,Prudhvi Chandra,0.717,0.939,0.337,0.304,2.4e-06,140.052,-5.666,0.248,0.116,3
29863,Aparentemente - En Vivo,https://open.spotify.com/embed/track/07gAN8AX9sxHolRg9MtFqW,spotify:track:07gAN8AX9sxHolRg9MtFqW,48,Tony Vega,0.342,0.826,0.643,0.161,1.42e-05,181.976,-9.288,0.0402,0.108,3
29868,My Heroine,https://open.spotify.com/embed/track/6NDoBIaqTHdcudaR8RDJNw,spotify:track:6NDoBIaqTHdcudaR8RDJNw,57,Silverstein,0.412,0.823,0.162,9.62e-05,8.25e-05,154.115,-2.572,0.0323,0.153,3
29870,"Well, You Disappoint Me Boy",https://open.spotify.com/embed/track/62PTpDhQenSlWQsfxN9fdy,spotify:track:62PTpDhQenSlWQsfxN9fdy,22,Vansleep,0.519,0.943,0.479,0.000471,1.98e-06,146.017,-6.659,0.0541,0.428,3
29878,Sankurathri Kodi,https://open.spotify.com/embed/track/3N7Vi045qX4763rTZoVApW,spotify:track:3N7Vi045qX4763rTZoVApW,44,"Madhusri, A.R.Rehman",0.648,0.404,0.289,0.0512,0.0,176.023,-8.639,0.104,0.0811,3
29889,MAGIC,https://open.spotify.com/embed/track/0xzMBFXtfeE7JnFZ6YTj0P,spotify:track:0xzMBFXtfeE7JnFZ6YTj0P,39,Hawaiian6,0.245,0.949,0.355,0.00429,0.0,180.941,-3.61,0.0727,0.0677,3
29902,Skin O' My Teeth - 2004 Remastered,https://open.spotify.com/embed/track/7EFho37SrizYaQ2NVxLejd,spotify:track:7EFho37SrizYaQ2NVxLejd,54,Megadeth,0.55,0.943,0.596,2.54e-05,0.00781,98.585,-6.242,0.06,0.0728,3
29904,Burn It Down,https://open.spotify.com/embed/track/7vUeM6Bftbd4wBSml0KffV,spotify:track:7vUeM6Bftbd4wBSml0KffV,47,Silverstein,0.447,0.966,0.499,0.000217,0.0,164.106,-4.279,0.0999,0.0876,3
29914,cherry blossom,https://open.spotify.com/embed/track/3PT3dmokgfqJSsZxv4Njw5,spotify:track:3PT3dmokgfqJSsZxv4Njw5,53,Kacey Musgraves,0.641,0.818,0.355,0.119,0.000444,109.967,-6.757,0.0453,0.168,3
29920,Top of the Top,https://open.spotify.com/embed/track/4MkWLRTYKq31BrRtSzZfRb,spotify:track:4MkWLRTYKq31BrRtSzZfRb,32,Matt Large,0.72,0.719,0.389,0.0358,0.287,83.977,-5.555,0.0584,0.115,3
29927,Salvation,https://open.spotify.com/embed/track/7BqswPPw2RiPbqoWxUypph,spotify:track:7BqswPPw2RiPbqoWxUypph,38,Nomy,0.503,0.939,0.338,0.0658,2.48e-06,93.457,-5.34,0.0483,0.58,3
29928,My Rules,https://open.spotify.com/embed/track/4xgO0AFVemVCeykCtnMclo,spotify:track:4xgO0AFVemVCeykCtnMclo,30,Buggin,0.586,0.823,0.46,0.000104,0.389,96.054,-9.268,0.0368,0.198,3
29929,I Walk Alone,https://open.spotify.com/embed/track/350WfWVJnoUixMboTKUPpS,spotify:track:350WfWVJnoUixMboTKUPpS,25,Michael Hardie,0.667,0.468,0.45,0.185,0.00974,144.112,-9.718,0.0416,0.107,3
